Item #,Item Title,Item Author,ISBN,Item Call number,Item Collections,Number of Transactions
253875102,"Saan Ka, Ligaya?","Berron, Karla",9.78174E+12,,Your library,6
256526201,Dead Balagtas Mga Sayaw ng Dagat at Lupa,"Kampilan, Emiliana",9.78972E+12,,Your library,6
253717742,"Mars, May Zombie!","Pascual, Chuckberry J.",9.78972E+12,,Your library,6
253428030,Alam ni Kris ang Magkakasalungat na Salita,"Villanueva, Rene",9.78971E+12,,"Your library,Board Books,Si Kris",6
257314256,Bahay-kubo,"Acuña, Pergylene",9.78972E+12,,Your library,5
253428023,Nasaan Si Kris?,"Villanueva, Rene",978-971-27-3548-6,,"Your library,Board Books,Si Kris",5
254837663,"Lo Pahinging Piso (Lolo, Can I Have A Peso)","Menina, Ladie Mae",9.78621E+12,,Your library,5
253727431,When I First Met You,"Fumah, Jamille",9.78971E+12,,Your library,5
253726164,Ang Alaga,"Canong-Senosin, Katrina",9.78621E+12,,Your library,4
253428046,"Let's Go, Intayon!: An Enchanting Dual-Language Picture Book in English and Ilocano. (English Ilocano Bilingual Book for Kids)","Penhollow, Avi",9.79886E+12,,Your library,4
253712995,Nawawala si Muningning,"Coroza, Michael M.",9715085806,,Your library,4
254608266,Ang mga Lambing ni Lolo Ding,"M. Coroza, Michael",9.78972E+12,,Your library,4
253428154,Rom-rom and Lola,"Similar, Rowena",9.79865E+12,,Your library,4
253428367,Baybayin Para sa Iyo-Isang Pilipino,"Resurreccion, Anji",9.78972E+12,,Your library,4
253428125,Nurse Mommies are the Best!,"Cheng, Annie",9.79899E+12,,Your library,4
257313469,Dear America: Young Readers’ Edition: The Story of an Undocumented Citizen,"Vargas, Jose Antonio",9.78006E+12,,Your library,4
253713020,My Family,"Garcia, Kata",9.78972E+12,,Your library,4
253428116,Eat Your Garden (English-Filipino Edition),"Santos, Lorie",9.78174E+12,,Your library,4
256459555,Tarantadong Kalbo 2,"Eric Raymundo, Kevin",9.78622E+12,,Your library,4
256525403,Katipunera Warrior Storming Flow,"Mercado, Bernie",9.79988E+11,,Your library,4
253428303,Common Courtesies in the Bathroom,"Rodrigo, Didith",9.78972E+12,,Your library,3
